Date,Price,Change %
5/11/2023,107.34,0.01%
5/10/2023,107.33,-0.38%
5/9/2023,107.74,0.76%
5/8/2023,106.93,0.46%
5/3/2023,106.44,0.36%
5/2/2023,106.06,-0.04%
4/27/2023,106.1,-0.02%
4/26/2023,106.12,-1.28%
4/25/2023,107.5,1.32%
4/24/2023,106.1,-0.01%
4/18/2023,106.11,-0.13%
4/17/2023,106.25,-0.11%
4/13/2023,106.37,0.03%
4/12/2023,106.34,0.06%
4/11/2023,106.28,0.11%
4/10/2023,106.16,0.33%
4/6/2023,105.81,-1.48%
4/5/2023,107.4,1.83%
4/4/2023,105.47,0.22%
4/3/2023,105.24,-1.83%
3/30/2023,107.2,0.79%
3/29/2023,106.36,-1.20%
3/28/2023,107.65,2.48%
3/27/2023,105.04,-0.01%
3/23/2023,105.05,-0.01%
3/22/2023,105.06,-1.36%
3/21/2023,106.51,1.21%
3/20/2023,105.24,-1.41%
3/16/2023,106.75,1.28%
3/15/2023,105.4,-0.13%
3/14/2023,105.54,0.10%
3/13/2023,105.43,0.06%
3/9/2023,105.37,0.13%
3/7/2023,105.23,0.32%
3/6/2023,104.89,-1.51%
3/2/2023,106.5,1.99%
3/1/2023,104.42,-0.03%
2/28/2023,104.45,-2.02%
2/27/2023,106.6,0.01%
2/23/2023,106.59,-0.04%
2/22/2023,106.63,0.45%
2/20/2023,106.15,0.38%
2/16/2023,105.75,-0.42%
2/15/2023,106.2,-0.84%
2/14/2023,107.1,0.23%
2/13/2023,106.85,2.12%
2/9/2023,104.63,-1.66%
2/8/2023,106.4,0.16%
2/7/2023,106.23,0.01%
2/6/2023,106.22,-1.01%
2/2/2023,107.3,1.63%
2/1/2023,105.58,-1.05%
1/31/2023,106.7,0.76%
1/30/2023,105.9,0.38%
1/27/2023,105.5,0.00%
1/26/2023,105.5,0.86%
1/25/2023,104.6,-1.51%
1/24/2023,106.2,0.66%
1/23/2023,105.5,0.38%
1/19/2023,105.1,-0.57%
1/18/2023,105.7,1.93%
1/17/2023,103.7,-0.20%
1/16/2023,103.91,-0.09%
1/13/2023,104,-0.13%
1/12/2023,104.14,0.04%
1/11/2023,104.1,-0.86%
1/10/2023,105,0.48%
1/9/2023,104.5,1.06%
1/6/2023,103.4,-0.10%
1/5/2023,103.5,0.19%
1/4/2023,103.3,-0.05%
1/3/2023,103.35,-2.45%
1/2/2023,105.95,3.37%
12/30/2022,102.5,-0.10%
12/29/2022,102.6,-2.66%
12/28/2022,105.4,2.63%
12/27/2022,102.7,-1.20%
12/26/2022,103.95,-1.19%
12/23/2022,105.2,0.00%
12/22/2022,105.2,-0.19%
12/21/2022,105.4,2.83%
12/20/2022,102.5,-3.03%
12/19/2022,105.7,1.54%
12/16/2022,104.1,-0.10%
